*,2003 Bows
=,MFG,MDL,IBO,A2A,BH,DL,DW,PLO,CAM,STR,CBL,CTL
-,Alpine
Fatal Impact,305,34,7.25,27-31,40-70,65/80,Single,0,0,0
Impact Xtreme Single,300,34,6.5,26-30,40-70,65/80,Single,0,0,0
Impact Xtreme Twin,295,34,6.5,23-30,40-70,65,Twin,0,0,0
Lightning Force,285,39,7,24-31,50-70,65,Twin,0,0,0
Micro Youth,250,32,5.5,21-28,20-50,65,Twin,0,0,0
Ravage,295,28,7.5,25-29,40-70,65/80,Single,0,0,0
Sidewinder,315,36,6,26-30,40-70,65/80,Single,0,0,0
SS Stealth,310,36,6.75,26-30,40-70,65/80,Single,0,0,0
Stealth Force,305,39,7,27-31,40-70,65/80,Single,0,0,0
-,Archery Research
AR31,301,31.3,8.5,26-30,50-70,70,Single,0,0,0
AR34,309,33.5,8,26-30,50-70,70,Single,0,0,0
AR37,312,36.8,7,26-30,50-70,70,Single,0,0,0
-,Bear
Badge,170,34.88,7.13,20-27,15-45,65,Twin,0,0,0
TRX,305,35.88,6.63,24-31,40-70,65/75,Single,0,0,0
TRX 32,303,32,7.5,24-31,40-70,65/75,Single,0,0,0
Vapor 300,302,34.25,7.25,24-31,40-70,65/75,Single,0,0,0
-,Bowtech
Black Knight Pro-SB,350,36,5.75,24-29,40-70,65,Twin,0,0,0
Black Knight Pro-TB,350,36,6.75,25-30,40-70,65,Twin,0,0,0
Blackhawk,317,28.88,8,25-30,30-70,65-80,Single,0,0,0
Extreme Samson VFT,333,34.06,6.63,25-30,70-100,65-80,Single,0,0,0
Extreme VFT,333,36.06,6.63,25-30,40-70,65-80,Single,0,0,0
Generation 3.2,320,37.5,7,26-31,40-70,65-80,Triple,0,0,0
Ladyhawk,270,29,7.5,20-26,20-60,80,Single,0,0,0
Mighty Mite,324,31.5,7.25,25-30,50-70,65-80,Single,0,0,0
Patriot Dually VFT,340,34.88,7.69,25-30,30-70,65,Twin,0,0,0
Patriot VFT,320,33.75,7.38,25-30,30-70,65-80,Single,0,0,0
Pro 38,314,36.69,7.38,27-32,40-70,65-80,Single,0,0,0
Pro 40,310,38.63,7.75,27-32,40-70,65-80,Single,0,0,0
Pro 40 Dually,337,38,7.38,26-31,30-70,65,Twin,0,0,0
Pro 40 Wheely,312,38,7.25,23-30,30-80,65/80,Twin,0,0,0
Rascal,262,24.5,7.25,19-25,25-40,80,Single,0,0,0
Stalker,306,33.5,7.75,27-32,40-70,65-80,Single,0,0,0
Stalker Lite,295,33.75,6.88,22-29,20-60,80,Single,0,0,0
Tech 29,320,29.5,6.5,24-29,40-70,65-80,Single,0,0,0
Tomkat,292,31,9.13,27-32,50-70,65-80,Single,0,0,0
-,Browning
Adrenaline SX,305,33,6.5,24-31,40-70,70,Twin,0,0,0
Eclipse ZLX,302,36,7.25,27-31,40-70,65/75,Single,0,0,0
Impulse LS,298,32,6.25,25-29,30-50,70,Twin,0,0,0
Micro Adrenaline XS,280,32,6.25,18-28,30-50,70,Twin,0,0,0
Micro Midas 3,275,32,6.25,18-28,20-40,70,Twin,0,0,0
Mirage 33S,300,33,6.75,26-30,40-70,65-80,Single,0,0,0
Mirage ZX,300,33,7.25,26-30,40-70,65/75,Single,0,0,0
Rage,292,35,8,21-31,35-65,70,Twin,0,0,0
Tornado,292,37,7.5,24-31,40-70,65/80,Single,0,0,0
-,Buckmaster
G2,309,31,7.5,23-30,40-70,65/75,Single,0,0,0
G2XL,309,35,7.25,24-31,40-70,65/75,Single,0,0,0
-,Champion
Badger,170,34,6.88,22-29,25-45,65/80,Single,0,0,0
Bronco,307,37,7,25-32,40-70,65/80,Single,0,0,0
Bronco Twin,307,36.38,6.63,27-31,40-70,65/80,Twin,0,0,0
Contender,300,41.38,7.88,26-33,40-70,65/80,Single,0,0,0
Contender Twin,306,39.63,7.13,28-32,40-70,65/80,Twin,0,0,0
Dakota,305,37.25,6.88,25-32,40-70,65/80,Single,0,0,0
Dakota Twin,306,36.38,6.63,27-31,40-70,65/80,Twin,0,0,0
Eclipse,175,33.75,7.13,24-31,30-50,65/80,Single,0,0,0
Hurricane,294,31.13,8.38,24-31,40-70,65/80,Single,0,0,0
Mustang,310,35,7,24-31,40-70,65/80,Single,0,0,0
Mustang Twin,312,34.13,6.13,26-30,40-70,65/80,Twin,0,0,0
Saber,302,37.13,6.75,25-32,40-70,65/80,Single,0,0,0
Saber Twin,306,36.38,6.63,27-31,40-70,65/80,Twin,0,0,0
Spitfire,318,34.63,6.63,23-30,40-70,65/80,Single,0,0,0
Storm,308,34.25,7.88,24-31,40-70,65/80,Single,0,0,0
Storm Twin,308,33.75,6.63,26-30,40-70,65/80,Twin,0,0,0
-,Darton
Avalanche Extreme,308,34.38,7.25,26-31,40-70,70/80,Hybrid,0,0,0
Cyclone Express 3D,304,38,7.88,27-32,40-70,70/80,Hybrid,0,0,0
Cyclone Express LD,300,41.25,8,28-34,40-70,70/80,Hybrid,0,0,0
Exciter,170,32.63,6.63,22-26,15-45,80,Single,0,0,0
Executive Vegas,280,41.5,8.5,25-30,30-70,75,Hybrid,0,0,0
Fury Express,301,35.13,6.75,25-32,40-70,70/80,Hybrid,0,0,0
Magnum Extreme,312,32.63,6.75,26-30,40-70,70/80,Hybrid,0,0,0
Maverick Express REC,314,38,6.25,26-32,40-70,70/80,Hybrid,0,0,0
