*,2022 Fletch
=,MFG,MDL,GRS,LEN,HGT,FTYPE
-,VaneTec
HP 1.5,3.2,1.5,0.46,Vane
HP 2.0,5,2,0.55,Vane
HD 2.0,6.5,2,0.55,Vane
Swift 1.87,3.2,1.87,0.32,Vane
Swift 2.25,4.5,2.25,0.38,Vane
Swift 2.88,7.5,2.88,0.45,Vane
Swift 3.15,8.8,3.15,0.47,Vane
V-Max 2.5,5.5,2.5,0.43,Vane
V-Max 3.0,6.4,3,0.485,Vane
V-Max 4.0,9.6,4,0.485,Vane
SuperSpine 1.75,2.6,1.75,0.32,Vane
SuperSpine 1.8,3.3,1.8,0.375,Vane
SuperSpine 2.3,4.1,2.3,0.375,Vane
SuperSpine 3.0,6,3,0.375,Vane
-,TAC
Driver 2.0,4,2,0.39,Vane
Driver 2.25,5,2.25,0.465,Vane
Driver 2.75,6.4,2.75,0.475,Vane
Driver 3.75,7.6,3.75,0.475,Vane
Matrix 1.75,3.6,1.75,0.44,Vane
Matrix 2.0,4.8,2,0.445,Vane
Matrix 2.25,5.8,2.25,0.5,Vane
Summit 1.95,4.8,1.95,0.525,Vane
-,AAE
Hybrid-16,4,1.7,0.38,Vane
Hybrid-1.85,3.2,1.85,0.38,Vane
Hybrid-20 Shield,3.9,1.95,0.33,Vane
Hybrid-23,5.7,2.3,0.38,Vane
Hybrid-26,8.3,2.7,0.5,Vane
Hybrid-40,10.6,3.8,0.5,Vane
Hybrid-XB,6.1,2.05,0.5,Vane
Plastifletch Elite EP-16,3.2,1.75,0.375,Vane
Plastifletch Elite EP-23,4.9,2.375,0.38,Vane
Plastifletch Elite EP-26,7.2,2.875,0.5,Vane
Plastifletch Elite EP-40,10.3,3.875,0.5,Vane
Plastifletch Elite EP-50,13.3,4.75,0.5,Vane
WAV,1.7,2,0.33,Vane
PRO MAX,4.9,1.7,0.46,Vane
Plastifletch MAX-PM16,3.3,1.8,0.38,Vane
Plastifletch MAX-PM20,3.9,2,0.33,Vane
Plastifletch MAX-PM23,4.6,2.39,0.38,Vane
Plastifletch MAXHunter-22,7.5,2.15,0.59,Vane
MAX Stealth,9.2,2.7,0.5,Vane
Plastifletch MAX-23,3.7,2.375,0.375,Vane
Plastifletch MAX-26,6.1,2.875,0.5,Vane
Plastifletch MAX-40,8,3.875,0.5,Vane
Plastifletch MAX-50,9.4,4.75,0.5,Vane
Speed Flyte SF-14,2.1,1.4,0.36,Vane
Speed Flyte SF-23,3.6,2.37,0.36,Vane
Speed Flyte SF-28,4.5,2.8,0.4,Vane
Speed Flyte SF-40,6.4,3.8,0.4,Vane
-,Bjorn,
DragonFlight Nano,3.4,2.0,0.325,Vane
DragonFlight 1.6,2.6,1.6,0.325,Vane
DragonFlight 2.25,3.4,2.25,0.325,Vane
DragonFlight 2.75,5.6,2.75,0.325,Vane
DragonFlight 3.5,6.8,3.5,0.325,Vane
-,Bohning
ICE,6.5,3,0.3,Vane
AIR,4.5,2,0.3,Vane
Bolt,11.6,3.5,0.5,Vane
Heat,6,2.5,0.41,Vane
Zen,12.5,4,0.37,Vane
Bronco 3,8.5,3,0.43,Vane
Bronco 4,12.5,4,0.43,Vane
Impulse 3,4,3,0.3,Vane
Impulse 4,5,4,0.3,Vane
Impulse 1st Flight,7.5,4,0.5,Vane
Impulse Deux,3.2,2,0.39,Vane
Fletch-Tite FT-2,5.4,2,0.375,Vane
Fletch-Tite FT-3,8.6,3,0.39,Vane
Fletch-Tite FT-4,12.1,4,0.5,Vane
Fletch-Tite FT-5,17.1,5,0.55,Vane
Blazer X2,4,1.865,0.465,Vane
Blazer X2-o,5,1.85,0.465,Vane
BlaZer Micro,2,1,0.4,Vane
BlaZer Mini,4.2,1.5,0.49,Vane
BlaZer,6,1.987,0.568,Vane
X-1.8 Parabolic,4,1.8,0.4,Vane
X-2.0 Parabolic,6,2,0.4,Vane
X-2.4 Parabolic,6,2.4,0.4,Vane
X-3.0 Parabolic,8.5,3,0.46,Vane
X-4.0 Parabolic Lo-Pro,9,4,0.4,Vane
X-1.5 Shield,3,1.5,0.34,Vane
X-1.75 Shield,4,1.75,0.38,Vane
X-2.25 Shield,5.5,2.25,0.38,Vane
X-3.0 Shield,10,3,0.5,Vane
X-3.5 Shield,12,3.5,0.5,Vane
Killer4,12,4,0.5,Vane
Killer5,15,5,0.6,Vane
-,BiDelta
Jet 35,5.5,4,0.375,Vane
Hunter 3D,5.1,3.4,0.425,Vane
Hunter 3D-LP,4.1,3.4,0.325,Vane
Rain Vane,10.5,4,0.5,Vane
Shark Tooth ST-25,4.5,2.5,0.45,Vane
Shark Tooth ST-40,8.1,4,0.55,Vane
Hyper Delta HD-30,5.1,3,0.4,Vane
Hyper Delta JT-40,7.9,4,0.45,Vane
-,Carbon Impact
1.8,3,1.75,0.385,Vane
2.5,5,2.5,0.415,Vane
3.8,7,3.75,0.475,Vane
5,11,5,0.5,Vane
-,Carbon Express
Logo-4.0,6.4,3.8,0.4,Vane
-,Duravanes
Raptor-II 2.0,7.5,2,0.55,Vane
Fusion-II 2.1,7.5,2.1,0.55,Vane
FusionX-II 1.75,4.5,1.75,0.4,Vane
FusionX-II 2.1,5.8,2.1,0.43,Vane
FusionX-II 3.0,9.5,3,0.45,Vane
FusionX-II 3.5,10.5,3.5,0.47,Vane
FusionX-II 4.0,12.5,4,0.49,Vane
Predator-II 2.0,6.5,2,0.53,Vane
DV-II 3.0,8.7,3,0.54,Vane
DV-II 4.0,11.7,4,0.54,Vane
3D 1.8,3,1.825,0.38,Vane
3D 2.3,4.2,2.275,0.43,Vane
3D 3.0,5.7,2.95,0.43,Vane
3,6.2,2.9,0.5,Vane
4,8.8,3.9,0.51,Vane
5,11.7,4.9,0.5,Vane
Fusion Zeon,7,2.1,0.56,Vane
Fusion Zeon3.0,8,3,0.45,Vane
Fusion1.5,3.5,1.5,0.4,Vane
Fusion2.1,7,2.1,0.56,Vane
Fusion3.0,8,3,0.45,Vane
Predator,6.8,2,0.52,Vane
Raptor,7,2,0.568,Vane
-,Easton
Tite Flight-175,3,1.75,0.375,Vane
Tite Flight-200,4,2,0.33,Vane
Tite Flight-235,5.2,2.375,0.3,Vane
Diamond ED-175,3,1.75,0.375,Vane
Diamond ED-235,4,2.375,0.355,Vane
Diamond ED-280,6,2.875,0.5,Vane
Diamond ED-380,8,3.875,0.5,Vane
Elite 16,3,1.75,0.375,Vane
Elite 23,4,2.3,0.375,Vane
Elite 30,6,3,0.5,Vane
Elite 40,8,4,0.5,Vane
Elite 50,10,5,0.5,Vane
Feather 22,1.5,2.25,0.63,Feather
Feather 30,1.3,3,0.4,Feather
Feather 40,2.8,4,0.55,Feather
Feather 50,4.5,5,0.6,Feather
-,Flex Fletch
FLEX2 FFP-175,3.1,1.75,0.375,Vane
FLEX2 FFP-200,3.7,2,0.375,Vane
FLEX2 FFP-250,4.6,2.5,0.343,Vane
FLEX2 FFP-300,6.1,3,0..406,Vane
