*,2022 Nock
=,MFG,MDL,GRS,GRSBP
-,Accunock
S,13.5,0
X,13,0
G,7.5,0
PIN,5.5,0
-,American
BJ 7/32,6,0
BJ 1/4,6.5,0
BJ 9/32,8,0
BJ 5/16,10.7,0
BJ 21/64,12.5,0
BJ 11/32,16,0
-,AAE
IP4,4,0
IP5,5,0
IP6,6,0
HT1800,7.7,0
HT1880,7.5,0
HT1960,7,0
HT2100,8.5,0
HT2170,8.2,0
HT2200,8,0
HT2300,10.2,0
HT2330,10.4,0
HT2360,10,0
HT2400,9.8,0
HT2490,9.3,0
Plastinock 1/4,5.5,0
Plastinock 9/32,7,0
Plastinock 5/16,10.5,0
Plastinock 11/32,14,0
Z-Nock 1/4,7,0
Z-Nock 9/32,9.5,0
Z-Nock 5/16,10.5,0
Z-Nock 11/32,16.5,0
-,Aurel
STD Nock LG 0.098,6.8,0
STD Nock SM 0.083,6.5,0
Pin Nock LG 0.098,2.6,0
Pin Nock SM 0.088,2.6,0
-,Beiter
Pin Nock #1,4.32,0
Pin Nock #2,5.09,0
Pin Nock Hunter,5.25,0
OutPin-NB#1 Asym X10,4.46,0
OutPin-NB#1 Asym NanoXR#1,5.23,0
OutPin-NB#1 Asym NanoXR#2,5.08,0
OutPin-NB#2 Asym X10,5.23,0
OutPin-NB#2 Asym NanoXR#1,6.46,0
OutPin-NB#2 Asym NanoXR#2,6.15,0
OutPin-NB#2 Hunter X10,5.85,0
OutPin-NB#2 Hunter X10PT,6.62,0
OutPin-NB#2 Hunter NanoXR#1,6.69,0
OutPin-NB#2 Hunter NanoXR#2,6.34,0
Insert-NB#1 SmlGrv 3.98,5.85,0
Insert-NB#1 SmlGrv 12,5.54,0
Insert-NB#1 SmlGrv 12Heavy,6.62,0
Insert-NB#1 SmlGrv 19,8.15,0
Insert-NB#1 SmlGrv 19Heavy,9.54,0
Insert-NB#1 SmlGrv 3-04,7.23,0
Insert-NB#1 SmlGrv 3-18,8.77,0
Insert-NB#1 SmlGrv 5.15,8.77,0
Insert-NB#1 SmlGrv 3-28,8.77,0
Insert-NB#1 SmlGrv 1413,5.69,0
